id,language,prompt,domain
gpt-11,as,ৰামধেনুত কিমান ৰং থাকে?,physics
gpt-12,as,বস্তুবোৰক পৃথিৱীৰ ফালে টানি অনা বলটো কি?,physics
gpt-13,as,পৃথিৱীৰ আটাইতকৈ কঠিন প্ৰাকৃতিক পদাৰ্থ কি?,physics
gpt-14,as,পানীৰ ওপৰত বৰফ কিয় ওপঙি থাকে?,physics
gpt-15,as,মাটিত গুটিয়াই গুটিয়াই থকা বল এটাই অৱশেষত কিয় গতি বন্ধ কৰি দিয়ে?,physics
gpt-16,as,পানী বা কাঁচৰ মাজেৰে পোহৰ পাৰ হৈ যোৱাৰ সময়ত পোহৰৰ বেঁকা হোৱাৰ শব্দটো কি?,physics
gpt-17,as,বতাহত হিলিয়াম বেলুন কিয় ওপৰলৈ উঠে?,physics
gpt-18,as,পাখি এটা পেলাই দিলে শিলতকৈ লাহে লাহে কিয় সৰি পৰে?,physics
gpt-19,as,চুম্বকক কিছুমান বস্তুক আকৰ্ষণ কৰা অদৃশ্য বলৰ নাম কি?,physics
gpt-20,as,ধুমুহাৰ সময়ত বজ্ৰপাতৰ শব্দ শুনাৰ আগতে আমি কিয় বিজুলী দেখা পাওঁ?,physics
gpt-21,as,পৃথিৱীৰ আটাইতকৈ ওচৰৰ তৰাটোৰ নাম কি?,astronomy
gpt-22,as,আলোকবৰ্ষ কি?,astronomy
gpt-23,as,পৃথিৱীৰ কিমান চন্দ্ৰ আছে?,astronomy
gpt-24,as,আমাৰ সৌৰজগতৰ আটাইতকৈ ডাঙৰ গ্ৰহটো কি?,astronomy
gpt-25,as,তৰা এটাক প্ৰদক্ষিণ কৰা গ্ৰহৰ এটা গোটক কি বোলে?,astronomy
gpt-26,as,সূৰ্য্য পূব দিশত উদয় আৰু পশ্চিম দিশত অস্ত যোৱা যেন লাগে কিয়?,astronomy
gpt-27,as,কৃষ্ণগহ্বৰ কি?,astronomy
gpt-28,as,তাৰকাৰাজ্য কি?,astronomy
gpt-29,as,ধুমকেতু কি?,astronomy
gpt-30,as,আমাৰ সৌৰজগতৰ আটাইতকৈ ডাঙৰ তৰাটো কি?,astronomy
gpt-31,as,চীনৰ প্ৰথম সম্ৰাট কোন আছিল?,history
gpt-32,as,আমেৰিকাৰ প্ৰথম ৰাজধানী কোনখন চহৰ আছিল?,history
gpt-33,as,কি বছৰত আমেৰিকাই স্বাধীনতা ঘোষণা কৰিছিল?,history
gpt-34,as,কোন বছৰত মানুহে প্ৰথমে চন্দ্ৰত অৱতৰণ কৰিছিল?,history
gpt-35,as,ইতিহাসৰ আটাইতকৈ ডাঙৰ সংলগ্ন ভূমি সাম্ৰাজ্য আছিল কোনখন সাম্ৰাজ্য?,history
gpt-36,as,ত্ৰিকোণীয় আকৃতিৰ বাবে কি প্ৰাচীন মিচৰৰ গঠন জনা যায়?,history
gpt-37,as,দ্বিতীয় বিশ্বযুদ্ধৰ বেছিভাগ সময়তে ব্ৰিটেইনৰ প্ৰধানমন্ত্ৰী কোন আছিল?,history
gpt-38,as,কোন চনত টাইটানিক জাহাজখন ডুব গৈছিল?,history
gpt-39,as,দক্ষিণ আফ্ৰিকাৰ প্ৰথম কৃষ্ণাংগ ৰাষ্ট্ৰপতি কোন আছিল?,history
gpt-40,as,ৰাছিয়াৰ বিপ্লৱ কিমান বছৰত সংঘটিত হৈছিল?,history
gpt-41,as,দহ আৰু পাঁচৰ যোগফল কিমান?,maths
gpt-42,as,সাতক তিনিৰে কিমান গুণ কৰা হয়?,maths
gpt-43,as,ষোল্লৰ বৰ্গমূল কিমান?,maths
gpt-44,as,পোন্ধৰৰ পৰা আঠ বিয়োগ কৰিলে তাৰ ফল কি হ’ব?,maths
gpt-45,as,বিশক চাৰিৰে ভাগ কৰিলে কিমান হ’ব?,maths
gpt-46,as,ছয় আৰু ন’ৰ গুণফল কি?,maths
gpt-47,as,বাৰ আৰু আঠাইশ যোগ কৰিলে কিমান পায়?,maths
gpt-48,as,ত্ৰিশক পাঁচ ৰে ভাগ কৰিলে ভাগফল কিমান হ’ব?,maths
gpt-49,as,যদি আপুনি তিনিৰ বৰ্গটো চাৰিৰ বৰ্গৰ লগত যোগ কৰিলে তাৰ ফলাফল কি হ’ব?,maths
gpt-50,as,সোতৰক সাতত ভাগ কৰিলে বাকীখিনি কিমান হ’ব?,maths
gpt-51,as,কিমানখন মহাদেশ আছে?,geography
gpt-52,as,পৃথিৱীৰ কোনখন নদী আটাইতকৈ দীঘল?,geography
gpt-53,as,উত্তৰ আমেৰিকাৰ আটাইতকৈ ওখ পৰ্বতটো কি?,geography
gpt-54,as,ভূমিৰ হিচাপত কোনখন মহাদেশ আটাইতকৈ ডাঙৰ?,geography
gpt-55,as,স্থলভাগৰ হিচাপত আটাইতকৈ সৰু মহাদেশখন কি?,geography
gpt-56,as,কোনখন দেশৰ উপকূল আটাইতকৈ দীঘল?,geography
gpt-57,as,দক্ষিণ আমেৰিকাৰ পশ্চিমে কোনখন মহাসাগৰ অৱস্থিত?,geography
gpt-58,as,ব্ৰাজিলৰ চৰকাৰী ভাষা কি?,geography
gpt-59,as,পৃথিৱীৰ সৰ্বোচ্চ জলপ্ৰপাতটো কি?,geography
gpt-60,as,ভূ-ক্ষেত্ৰৰ হিচাপত বিশ্বৰ সৰ্ববৃহৎ দেশখন কি?,geography
gpt-61,as,তিনিটা প্ৰাথমিক ৰং কি কি?,art
gpt-62,as,প্ৰতিকৃতি কি?,art
gpt-63,as,কি কলা ৰূপত কেমেৰা ব্যৱহাৰ কৰি শিল্পকৰ্ম তৈয়াৰ কৰা হয়?,art
gpt-64,as,ভাস্কৰ্য্য নিৰ্মাণত ব্যৱহাৰ কৰা প্ৰাথমিক সামগ্ৰীসমূহ কি কি?,art
gpt-65,as,মনালিজাৰ ছবি কোনে আঁকিছিল?,art
gpt-66,as,কাগজ ভাঁজ কৰা কলাক কি বোলে?,art
gpt-67,as,কোলাজ কি?,art
gpt-68,as,ৰঙা আৰু হালধীয়া ৰং একেলগে মিহলাই কি পায়?,art
gpt-69,as,বগা ৰং আন যিকোনো ৰঙৰ লগত মিহলাই দিলে কি হয়?,art
gpt-70,as,ক’লা ৰং আন যিকোনো ৰঙৰ লগত মিহলাই দিলে কি হয়?,art
gpt-71,as,ফুটবলত গ’লৰক্ষকৰ বাহিৰে শৰীৰৰ কোনটো অংশই বল স্পৰ্শ কৰিবলৈ দিয়া নহয়?,sports
gpt-72,as,"গোল বল আৰু হুপ ব্যৱহাৰ কৰা খেল কি, আৰু খেলুৱৈয়ে হুপৰ মাজেৰে বল দলিয়াই পইণ্ট লাভ কৰে?",sports
gpt-73,as,বলিং বল এটা মাৰি সকলো পিন নমাই দিলে কি বুলি কয়?,sports
gpt-74,as,বেটেৰে বল মাৰি বেছৰ চাৰিওফালে দৌৰি থকা খেল কি?,sports
gpt-75,as,"দৌৰত সাঁতোৰ, বাইকিং আৰু দৌৰা কি খেলৰ লগত জড়িত?",sports
gpt-76,as,কোনটো খেলত খেলুৱৈয়ে কম ষ্ট্ৰ’ক ব্যৱহাৰ কৰি এটা সৰু বগা বল এটা কোৰ্চত ধাৰাবাহিকভাৱে ফুটাত ডুবাই দিবলৈ চেষ্টা কৰে?,sports
gpt-77,as,বৰ্ডত ঢৌ চলাই থিয় হৈ ভাৰসাম্য ৰক্ষা কৰিবলৈ চেষ্টা কৰাটো কি খেল?,sports
gpt-78,as,জোতাৰ লগত সংলগ্ন চোকা ব্লেড ব্যৱহাৰ কৰি বৰফৰ ওপৰত গ্লাইডিং কৰাটো কি খেল?,sports
gpt-79,as,স্কি এযোৰত বৰফৰ ঢালৰ পৰা তললৈ পিছলি যোৱাটো কি খেলৰ লগত জড়িত?,sports
gpt-80,as,কোনটো খেলত খেলুৱৈসকলে গধুৰ ধাতুৰ বল যিমান পাৰে নিক্ষেপ কৰে?,sports
gpt-81,as,সংগীতত বিভিন্ন পিচক প্ৰতিনিধিত্ব কৰা লিখিত চিহ্নবোৰক আমি কি বুলি কওঁ?,music
gpt-82,as,একেলগে বজোৱা শাস্ত্ৰীয় সংগীতজ্ঞৰ এটা বৃহৎ দলৰ নাম কি?,music
gpt-83,as,সংগীতত শব্দৰ উচ্চতা বা নিম্নতাক আমি কি বুলি কওঁ?,music
gpt-84,as,একেলগে অনুষ্ঠান পৰিৱেশন কৰা গায়ক দল এটাক কি শব্দ?,music
gpt-85,as,এটা ষ্টেণ্ডাৰ্ড গীটাৰত কিমান ষ্ট্ৰিং থাকে?,music
gpt-86,as,সংগীতত গীতৰ গতিৰ শব্দ কি?,music
gpt-87,as,সংগীত বনাবলৈ আপুনি উৰুৱাই দিয়া বাদ্যযন্ত্ৰৰ উদাহৰণ কি?,music
gpt-88,as,লাঠিৰে খুন্দা মাৰি বজোৱা বাদ্য কি?,music
gpt-89,as,সংগীত লিখা ব্যক্তিৰ নাম কি?,music
gpt-90,as,ষ্টেণ্ডাৰ্ড পিয়ানোৰ চাবিবোৰ কি কি?,music
gpt-91,as,আটাইতকৈ ডাঙৰ স্থলজ প্ৰাণী কি?,animals
gpt-92,as,মৌমাখিয়ে ফুলৰ পৰা কি সংগ্ৰহ কৰে?,animals
gpt-93,as,আটাইতকৈ দ্ৰুততম স্থলজ প্ৰাণী কি?,animals
gpt-94,as,কোনটো প্ৰাণী কুঁজৰ বাবে জনাজাত আৰু মৰুভূমিত বাস কৰে?,animals
gpt-95,as,সাঁতুৰিব পৰা কিন্তু উৰিব নোৱাৰা চৰাইৰ উদাহৰণ কি?,animals
gpt-96,as,কোনটো সৰীসৃপ ছালৰ ৰং সলনি কৰি চৌপাশৰ লগত মিলি যোৱাৰ বাবে জনাজাত?,animals
gpt-97,as,ডিঙিটো অতি দীঘল আৰু গছত ওখ পাত পোৱাৰ বাবে জনাজাত কোনটো প্ৰাণী?,animals
gpt-98,as,ৰঙীন পাখি আৰু মানুহৰ শব্দ অনুকৰণ কৰাৰ ক্ষমতাৰ বাবে কোনটো চৰাই জনাজাত?,animals
gpt-99,as,"কোনটো সৰু, নিশাচৰ স্তন্যপায়ী প্ৰাণী গছত ওলোটাকৈ ওলমি থকাৰ বাবে জনাজাত?",animals
gpt-100,as,আটাইতকৈ ডাঙৰ ডাঙৰ মেকুৰীটো কি আৰু ইয়াৰ স্বকীয় ক’লা আৰু কমলা ৰঙৰ ৰেখাৰ বাবে জনাজাত?,animals
lmsys-1,as,ব্ৰাজিলৰ প্ৰথম ৰাষ্ট্ৰপতি কোন আছিল?,none
lmsys-2,as,ফ্ৰান্সৰ ৰাজধানী কি?,none
lmsys-3,as,কিহৰ ওজন বেছি: দুপাউণ্ড পাখি নে এক পাউণ্ড ইটা?,none
lmsys-4,as,২০১৩ চনত আমেৰিকাৰ ৰাষ্ট্ৰপতি কোন আছিল?,none
lmsys-5,as,"যদি কোনো ৰেখা খণ্ডৰ শেষ বিন্দু (2, -2) আৰু (10, -2) হয়, তেন্তে খণ্ডটোৰ দৈৰ্ঘ্য কিমান হ’ব?",none
lmsys-6,as,তাঞ্জানিয়াৰ ৰাজধানী কি?,none
lmsys-7,as,দুটা যোগ কৰি দুটা কি?,none
lmsys-8,as,১২১ ৰ বৰ্গমূল কিমান?,none
lmsys-9,as,কল কি?,none
lmsys-10,as,পাঁচৰ শক্তিৰ পৰা তিনি কি?,none
lmsys-11,as,এজোপা গছত দহটা চৰাই। এটা উৰি গ’লে গছত কিমান বাকী থাকে?,none
lmsys-12,as,সৌৰজগতত কিমান গ্ৰহ আছে?,none
lmsys-13,as,জাপানৰ আটাইতকৈ ওখ পৰ্বতটো কি?,none
lmsys-14,as,যদি আপুনি কোনো দৌৰত অংশগ্ৰহণ কৰি দ্বিতীয় স্থানত থকা ব্যক্তিজনক পাছ কৰে তেন্তে এতিয়া আপুনি কি স্থানত থাকিব?,none
lmsys-15,as,মেকুৰীৰ দাঁত থাকে নেকি?,none
lmsys-16,as,আকাশৰ ৰং কি?,none
lmsys-17,as,চন্দ্ৰত প্ৰথম মানুহ কোন আছিল?,none
lmsys-18,as,যদি x+y = 8 আৰু (x/2) = 3 তেন্তে x আৰু y ৰ মান কিমান?,none
lmsys-19,as,দুটাৰ শক্তিত পোন্ধৰ কি?,none
lmsys-20,as,জাৰ্মানীৰ ৰাজধানী কি?,none
lmsys-21,as,সেউজীয়া গাড়ীৰ ৰং কি?,none
lmsys-22,as,ভাৰতৰ প্ৰথম প্ৰধানমন্ত্ৰী কোন আছিল?,none
lmsys-23,as,কোনটো জন্তুৱে বেছি বেগেৰে দৌৰিব পাৰে: কচ্ছপ নে শহাপহু?,none
lmsys-24,as,১৮০ ডিগ্ৰীৰ চাইন কিমান?,none
lmsys-25,as,২০২০ চনত কোনখন দেশত সৰ্বাধিক জনসংখ্যা আছিল?,none
lmsys-26,as,আইফেল টাৱাৰ কিমান ওখ?,none
lmsys-27,as,কুকুৰ কি?,none
lmsys-28,as,যদি এখন গাড়ীয়ে দুঘণ্টাত ১২০ মাইল যাত্ৰা কৰে তেন্তে ইয়াৰ গড় গতি প্ৰতি ঘণ্টাত মাইলত কিমান হ’ব?,none
lmsys-29,as,এটা যোগ দুটা বিয়োগ তিনি যোগ চাৰি বিয়োগ পাঁচ কি?,none
lmsys-30,as,ভাৰতৰ ৰাজধানী কি?,none
lmsys-31,as,প্ৰথম সাতটা মৌলিক সংখ্যা কি কি?,none
lmsys-32,as,আপেল কি?,none
lmsys-33,as,এটা কুকুৰাৰ কিমান ফুট থাকে?,none
lmsys-34,as,ব্ৰাজিলৰ ৰাজধানী কি?,none
lmsys-35,as,দুটাৰ বৰ্গমূল কিমান?,none
lmsys-36,as,২০১৭ চনত অষ্ট্ৰেলিয়াৰ প্ৰধানমন্ত্ৰী কোন আছিল?,none
lmsys-37,as,২০১৮ চনত কোনটো দলে ফুটবল বিশ্বকাপ জয় কৰিছিল?,none
lmsys-38,as,এটা প্লাছ ৱান কি?,none
lmsys-39,as,২০১৬ চনত পোলেণ্ডৰ ৰাষ্ট্ৰপতি কোন আছিল?,none
lmsys-40,as,আমেৰিকাৰ প্ৰথম ৰাষ্ট্ৰপতি কোন আছিল?,none
lmsys-41,as,পাঁচ মৌলিক সংখ্যা নেকি?,none
lmsys-42,as,"আজি যদি মঙলবাৰ হয়, তেন্তে কাইলৈৰ পিছৰ দিনটো কি?",none
lmsys-43,as,"এজন খেতিয়কৰ যদি সোতৰটা ভেড়া থাকে আৰু নটা ভেড়াৰ বাহিৰে বাকী সকলো মৰি যায়, তেন্তে কিমান বাকী থাকে?",none
lmsys-44,as,"যদি 2x+1=x হয়, তেন্তে x কি?",none
lmsys-45,as,ইউৰোপত পেৰিছ ক’ত?,none
lmsys-46,as,2x+1 = 0 ৰ সমাধান কি?,none
lmsys-47,as,ন প্লাছ টেন কি?,none
lmsys-48,as,"কোনটো সংখ্যা আটাইতকৈ ডাঙৰ: বিশ, চৌত্ৰিশ বা একত্ৰিশ?",none
lmsys-49,as,চীনৰ ৰাজধানী কি?,none
lmsys-50,as,এটা ষ্টেণ্ডাৰ্ড ভায়লিনত কিমান ষ্ট্ৰিং থাকে?,none
lmsys-51,as,(৩/২)*x + ১ = ০ ৰ সমাধান কিমান?,none
lmsys-52,as,পাঁচৰ পৰা দহলৈকে সকলো সংখ্যাৰ যোগফল কিমান?,none
lmsys-53,as,ৰঙা আৰু নীলা ৰং একেলগে মিহলাই তাৰ পিছত মোৰ বেৰত ৰং কৰিলে মোৰ বেৰৰ ৰং কি হ’ব?,none
lmsys-54,as,কোনটো গধুৰ: এক কিলোগ্ৰাম লোহা নে এক কিলোগ্ৰাম কপাহ?,none
lmsys-55,as,এশৰ বৰ্গমূল কিমান?,none
lmsys-56,as,তিনিগুণ সাত কি?,none
lmsys-57,as,২০১৩ চনত ফ্ৰান্সৰ ৰাষ্ট্ৰপতি কোন আছিল?,none
lmsys-58,as,৩+৩*৫ কি?,none
lmsys-59,as,২০০০ চনটো অধিবৰ্ষ আছিল নেকি?,none
lmsys-60,as,আমাৰ সৌৰজগতত সূৰ্য্যৰ পৰা পঞ্চম গ্ৰহটো কি?,none
lmsys-61,as,মেকুৰী কি?,none
lmsys-62,as,পৃথিৱীখন সমতল নেকি?,none
lmsys-63,as,পৃথিৱীৰ সৰ্বোচ্চ পৰ্বতটো কি?,none
lmsys-64,as,"যদি x + y = 10 আৰু x - y = 2 হয়, তেন্তে x আৰু y কি?",none
lmsys-65,as,সিংহ কি?,none
lmsys-66,as,হালধীয়া আৰু নীলা মিহলাই কেনেধৰণৰ ৰং পাওঁ?,none
lmsys-67,as,এন্দুৰে কি খায়?,none
lmsys-68,as,5x + 3 = 23 হ’লে x ৰ মান কিমান হ’ব?,none
lmsys-69,as,নিকটতম পূৰ্ণসংখ্যালৈ ১৪৪ ৰ বৰ্গমূল কিমান?,none
lmsys-70,as,দক্ষিণ আমেৰিকাৰ কোন দুখন দেশ ব্ৰাজিলৰ সৈতে সীমান্ত ভাগ নকৰে?,none
lmsys-71,as,ঘোঁৰা কি?,none
lmsys-72,as,পৃথিৱীৰ আটাইতকৈ ডাঙৰ মহাসাগৰখন কি?,none
lmsys-73,as,লামা কি?,none
lmsys-74,as,পৃথিৱীৰ আটাইতকৈ ডাঙৰ প্ৰাণীটো কি?,none
lmsys-75,as,ছুইডেনৰ ৰাজধানী কি?,none
lmsys-76,as,ভেগানসকলে মাছ খায় নেকি?,none
lmsys-77,as,ডাঙৰ কি: সূৰ্য্য নে চন্দ্ৰ?,none
lmsys-78,as,২ + ২ * ৩ কি?,none
lmsys-79,as,বগা ঘোঁৰাৰ ৰং কি?,none
lmsys-80,as,ইটালীৰ ৰাজধানী কি?,none
lmsys-81,as,নেদাৰলেণ্ডৰ ৰাজধানী কি?,none
lmsys-82,as,পেংগুইন উৰিব পাৰেনে?,none
lmsys-83,as,দবাৰ বৰ্ড এখনত কিমান ক’লা বৰ্গ আছে?,none
lmsys-84,as,"যদি 2x + 5 = 15 হয়, তেন্তে x কি?",none
lmsys-85,as,অষ্ট্ৰেলিয়াৰ ৰাজধানী কি?,none
lmsys-86,as,আমাৰ সৌৰজগতত সূৰ্য্যৰ পৰা দ্বিতীয় গ্ৰহটো কি?,none
lmsys-87,as,দুটা মানুহ আৰু পাঁচটা মেকুৰীৰ মুঠ কিমান ভৰি আছে?,none
lmsys-88,as,আইফেল টাৱাৰ কোনখন চহৰত অৱস্থিত?,none
lmsys-89,as,সাতাইশটো মৌলিক সংখ্যা নেকি?,none
lmsys-90,as,১৯৫৫ চনত আমেৰিকাৰ ৰাষ্ট্ৰপতি কোন আছিল?,none
lmsys-91,as,সাধাৰণ কুকুৰৰ কিমান ঠেং থাকে?,none
lmsys-92,as,দুগুণ তিনিৰ সমান চাৰিটা হয়নে?,none
lmsys-93,as,দুটা আপেল থাকিলে এটা কল খালে মোৰ কিমান আপেল বাকী থাকিলহেঁতেন?,none
lmsys-94,as,পৃথিৱীৰ আটাইতকৈ ডাঙৰ হ্ৰদটো কি?,none
lmsys-95,as,"১, ৪, ৯, ১৬, ২৫ আৰম্ভ হোৱা ক্ৰমত পৰৱৰ্তী সংখ্যাটো কিমান?",none
lmsys-96,as,ষ্ট্ৰবেৰী কি ৰঙৰ?,none
lmsys-97,as,৫ * ৫ + ৫ কি?,none
lmsys-98,as,দুটা প্লাছ ফাইভ কি?,none
lmsys-99,as,নেমু কি?,none
lmsys-100,as,"এটা, তিনিটা, সাত, চাৰি আৰু দুটাৰ মধ্যমা কিমান?",none
gpt-1,yi,וואָס איז די כעמישער פאָרמולע פֿאַר וואַסער?,chemistry
gpt-2,yi,וואָס איז די בוילינג פונט פון וואַסער אין ים שטאַפּל?,chemistry
gpt-3,yi,וואָס זענען די דריי שטאַט פון ענין?,chemistry
gpt-4,yi,וואָס כאַפּאַנז מיט וואַסער ווען עס ווערט קאַלט גענוג?,chemistry
gpt-5,yi,וואָס איז דער קלענסטער אַפּאַראַט פון ענין?,chemistry
gpt-6,yi,וואָס גאַז טאָן מיר אָטעמען אין צו בלייַבן לעבעדיק?,chemistry
gpt-7,yi,וואָס איז דער פּראָצעס ווו אַ פליסיק טורנס אין אַ גאַז אונטער זייַן בוילינג פונט?,chemistry
gpt-8,yi,וואָס איז די נאָמען פון די פּאַרטיקאַלז וואָס מאַכן אַ אַטאָם ס קערן?,chemistry
gpt-9,yi,וואָס טאָן איר רופן די ענדערונג פון אַ פליסיק אין אַ האַרט?,chemistry
gpt-10,yi,וואָס איז די כעמישער פאָרמולע פֿאַר זויערשטאָף?,chemistry
gpt-11,yi,ווי פילע פארבן זענען אין אַ רעגנבויגן?,physics
gpt-12,yi,וואָס איז די קראַפט וואָס פּולז אַבדזשעקץ צו דער ערד?,physics
gpt-13,yi,וואָס איז די כאַרדאַסט נאַטירלעך מאַטעריע אויף דער ערד?,physics
gpt-14,yi,פארוואס שוועבט אייז אויף וואסער?,physics
gpt-15,yi,פארוואס טוט אַ פּילקע ראָולינג אויף דער ערד יווענטשאַוואַלי האַלטן מאָווינג?,physics
gpt-16,yi,וואָס איז דער טערמין פֿאַר די בענדינג פון ליכט ווען עס פּאַסיז דורך וואַסער אָדער אַ גלאז?,physics
gpt-17,yi,פארוואס קומט אַ העליום באַלאָן אין די לופט?,physics
gpt-18,yi,פארוואס פאלט א פעדער לאנגזאם ווי א שטיין ווען מען פאלט אראפ?,physics
gpt-19,yi,וואָס איז דער נאָמען פון די ומזעיק קראַפט וואָס מאכט אַ מאַגנעט צוציען זיכער אַבדזשעקס?,physics
gpt-20,yi,פארוואס זען מיר בליץ איידער מיר הערן דונער בעשאַס אַ שטורעם?,physics
gpt-21,yi,וואָס איז דער נאָמען פון די קלאָוסאַסט שטערן צו דער ערד?,astronomy
gpt-22,yi,וואָס איז אַ ליכט-יאָר?,astronomy
gpt-23,yi,ווי פילע לבנה האט דער ערד?,astronomy
gpt-24,yi,וואָס איז דער גרעסטער פּלאַנעט אין אונדזער זונ - סיסטעם?,astronomy
gpt-25,yi,ווי הייסט א גרופע פלאנעטן וואס ארומלויפן א שטערן?,astronomy
gpt-26,yi,פארוואס טוט די זון דערשייַנען צו העכערונג אין די מזרח און ונטערגאַנג אין די מערב?,astronomy
gpt-27,yi,וואָס איז אַ שוואַרץ לאָך?,astronomy
gpt-28,yi,וואָס איז אַ גאַלאַקסי?,astronomy
gpt-29,yi,וואָס איז אַ קאָמעט?,astronomy
gpt-30,yi,וואָס איז דער גרעסטער שטערן אין אונדזער זונ - סיסטעם?,astronomy
gpt-31,yi,ווער איז געווען דער ערשטער עמפּעראָר פון טשיינאַ?,history
gpt-32,yi,וואָס שטאָט איז געווען דער ערשטער הויפּטשטאָט פון די פאַרייניקטע שטאַטן?,history
gpt-33,yi,אין וועלכע יאר האט די פאראייניגטע שטאטן דערקלערט איר אומאפהענגיקייט?,history
gpt-34,yi,אין וועלכע יאר האט דער מענטש צום ערשטן מאל געלאנדעט אויף דער לבנה?,history
gpt-35,yi,וואָס אימפעריע איז געווען די גרעסטע קאַנטיגיואַס לאַנד אימפעריע אין געשיכטע?,history
gpt-36,yi,וואָס אלטע מצרי סטרוקטור איז באקאנט פֿאַר זייַן טרייאַנגגיאַלער פאָרעם?,history
gpt-37,yi,ווער איז געווען דער פּריים מיניסטער פון בריטאַן בעשאַס רובֿ פון די וועלט מלחמה 2?,history
gpt-38,yi,אין וועלכע יאר האט די טיטאניק געזונקען?,history
gpt-39,yi,ווער איז געווען דער ערשטער שוואַרץ פרעזידענט פון דרום אפריקע?,history
gpt-40,yi,וואָס יאָר איז געווען די רוסישע רעוואָלוציע?,history
gpt-41,yi,וואָס איז די סומע פון ​​צען און פינף?,maths
gpt-42,yi,וויפיל איז זיבן געמערט מיט דריי?,maths
gpt-43,yi,וואָס איז די קוואַדראַט וואָרצל פון זעכצן?,maths
gpt-44,yi,"אויב איר אַראָפּרעכענען אַכט פון פופצן, וואָס וואָלט זיין דער רעזולטאַט?",maths
gpt-45,yi,וואָס איז דער ווערט פון צוואַנציק צעטיילט דורך פיר?,maths
gpt-46,yi,וואָס איז דער פּראָדוקט פון זעקס און נייַן?,maths
gpt-47,yi,וויפיל באקומט מען ווען מען לייגט צוועלף און שמונה עשרה?,maths
gpt-48,yi,וואָס איז דער קוואָטיענט ווען איר טיילן דרייַסיק דורך פינף?,maths
gpt-49,yi,"אויב איר לייגט די קוואַדראַט פון דריי צו די קוואַדראַט פון פיר, וואָס איז דער רעזולטאַט?",maths
gpt-50,yi,וואס איז די רעשט ווען מען טיילט זיבעצן ביי זיבן?,maths
gpt-51,yi,ווי פילע קאָנטינענטן זענען דאָרט?,geography
gpt-52,yi,וועלכע טייך איז דער לענגסטער אין דער וועלט?,geography
gpt-53,yi,וואָס איז דער העכסטן באַרג אין צפון אַמעריקע?,geography
gpt-54,yi,וואָס קאָנטינענט איז דער גרעסטער לויט לאַנד שטח?,geography
gpt-55,yi,וואָס איז דער קלענסטער קאָנטינענט לויט לאַנד שטח?,geography
gpt-56,yi,וואָס מדינה האט די לאָנגעסט קאָוסטליין?,geography
gpt-57,yi,וואָס אָקעאַן ליגט צו די מערב פון דרום אַמעריקע?,geography
gpt-58,yi,וואָס איז די באַאַמטער שפּראַך פון Brazil?,geography
gpt-59,yi,וואָס איז דער העכסטן וואַסערפאַל אין דער וועלט?,geography
gpt-60,yi,וואָס איז די גרעסטע לאַנד אין דער וועלט לויט לאַנד שטח?,geography
gpt-61,yi,וואָס זענען די דריי ערשטיק פארבן?,art
gpt-62,yi,וואָס איז אַ פּאָרטרעט?,art
gpt-63,yi,וואָס קונסט פאָרעם ניצט אַ אַפּאַראַט צו שאַפֿן אַרטוואָרק?,art
gpt-64,yi,וואָס זענען די ערשטיק מאַטעריאַלס געניצט אין קריייטינג סקאַלפּטשערז?,art
gpt-65,yi,ווער האט געמאלט די מאָנאַ ליסאַ?,art
gpt-66,yi,וואָס איז די קונסט פון פאָלדינג פּאַפּיר גערופן?,art
gpt-67,yi,וואָס איז אַ קאַלאַזש?,art
gpt-68,yi,וואָס טאָן איר באַקומען ווען איר מישן רויט און געל פאַרב צוזאַמען?,art
gpt-69,yi,וואָס כאַפּאַנז ווען איר מישן ווייַס פאַרב מיט קיין אנדערע קאָליר?,art
gpt-70,yi,וואָס כאַפּאַנז ווען איר מישן שוואַרץ פאַרב מיט קיין אנדערע קאָליר?,art
gpt-71,yi,"אין פוסבאָל, וואָס טייל פון דעם גוף איז נישט ערלויבט צו פאַרבינדן די פּילקע, אַחוץ פֿאַר די גאָולקיפּער?",sports
gpt-72,yi,"וואָס איז אַ שפּיל וואָס ניצט אַ קייַלעכיק פּילקע און רייַף, און פּלייַערס כעזשבן פונקטן דורך פארווארפן די פּילקע דורך די רייַף?",sports
gpt-73,yi,וואָס טאָן איר רופן עס ווען איר שלאָגן אַ באָוולינג פּילקע און קלאַפּן אַראָפּ אַלע די פּינס?,sports
gpt-74,yi,וואָס איז אַ ספּאָרט וואָס ינוואַלווז היטטינג אַ פּילקע מיט אַ פלעדערמויז און פליסנדיק אַרום באַסעס?,sports
gpt-75,yi,"וואָס ספּאָרט ינוואַלווז שווימערייַ, בייקינג און פליסנדיק אין אַ ראַסע?",sports
gpt-76,yi,אין וואָס ספּאָרט טאָן פּלייַערס פּרובירן צו זינקען אַ קליין ווייַס פּילקע אין אַ סעריע פון ​​האָלעס אויף אַ לויף מיט די מינאַסט סטראָקעס?,sports
gpt-77,yi,"וואָס איז אַ ספּאָרט וואָס ינוואַלווז ריידינג כוואליעס אויף אַ ברעט, טריינג צו שטיין אַרויף און וואָג?",sports
gpt-78,yi,וואָס איז אַ ספּאָרט וואָס ינוואַלווז גלידינג אויף אייז ניצן שאַרף בלאַדעס אַטאַטשט צו דיין שיכלעך?,sports
